doc_id,subject,relation,object,conf,dep_rule,flags,q_score,sentence,frag
DOC-D8124802DFA3,"Juan Pérez, Director",of,"Analytics, anunció un nuevo modelo de riesgo.",0.6,regex_prep,low-conf,0.42,"Juan Pérez, Director de Analytics, anunció un nuevo modelo de riesgo.","Juan Pérez, Director de Analytics, anunció un nuevo modelo de riesgo."
DOC-D8124802DFA3,Acme Corp,acquired,Beta Ltd in 2021.,0.7,regex_verb_do,,0.49,Acme Corp acquired Beta Ltd in 2021.,Acme Corp acquired Beta Ltd in 2021.
DOC-D8124802DFA3,Colaboración,with,Universidad Nacional en proyectos de IA aplicada.,0.6,regex_prep,low-conf,0.42,Colaboración con Universidad Nacional en proyectos de IA aplicada.,Colaboración con Universidad Nacional en proyectos de IA aplicada.
DOC-D8124802DFA3,Beta Ltd,is,adquirida por Acme Corp.,0.72,regex_cop,,0.612,Beta Ltd fue adquirida por Acme Corp.,Beta Ltd fue adquirida por Acme Corp.
DOC-D8124802DFA3,El sistema,is,implementado con enfoque de data mesh.,0.72,regex_cop,,0.612,El sistema fue implementado con enfoque de data mesh.,El sistema fue implementado con enfoque de data mesh.
DOC-D8124802DFA3,Author,of,"the book ""Deep Learning 101"".",0.6,regex_prep,low-conf,0.42,"Author of the book ""Deep Learning 101"".","Author of the book ""Deep Learning 101""."
DOC-D8124802DFA3,La sede,of,Acme está en Madrid.,0.6,regex_prep,low-conf,0.42,La sede de Acme está en Madrid.,La sede de Acme está en Madrid.
DOC-D8124802DFA3,Title: “AI at Scale,in,Mexico City (2020).,0.6,regex_prep,low-conf,0.42,Title: “AI at Scale” in Mexico City (2020).,Title: “AI at Scale” in Mexico City (2020).
DOC-D8124802DFA3,Acme Corp.,acquired,Beta Ltd,0.82,regex_passive_acq,,0.697,Beta Ltd fue adquirida por Acme Corp.,Beta Ltd fue adquirida por Acme Corp.
DOC-D8124802DFA3,Author,of,"the book ""Deep Learning 101"".",0.6,regex_prep,low-conf,0.42,"Author of the book ""Deep Learning 101"".","Author of the book ""Deep Learning 101""."
DOC-D8124802DFA3,Membership: Member,of,CDO LATAM.,0.6,regex_prep,low-conf,0.42,Membership: Member of CDO LATAM.,Membership: Member of CDO LATAM.
DOC-D8124802DFA3,Membership: Member,of,CDO LATAM.,0.6,regex_prep,low-conf,0.42,Membership: Member of CDO LATAM.,Membership: Member of CDO LATAM.
DOC-D8124802DFA3,Title: “AI at Scale,in,Mexico City (2020).,0.6,regex_prep,low-conf,0.42,Title: “AI at Scale” in Mexico City (2020).,Title: “AI at Scale” in Mexico City (2020).
