doc_id,entity,in_T2G,in_spaCy,in_Zshot,in_all_three
DOC-1753CAA8-EECC,bank america corp,1,0,0,0
DOC-1753CAA8-EECC,central banks,1,0,0,0
DOC-1753CAA8-EECC,citigroup inc,1,0,0,0
DOC-1753CAA8-EECC,dws group,1,0,0,0
DOC-1753CAA8-EECC,federal reserve,1,0,0,0
DOC-1753CAA8-EECC,gold,1,0,0,0
DOC-1753CAA8-EECC,nvidia corp,1,0,0,0
DOC-1753CAA8-EECC,ounce,1,0,0,0
DOC-1753CAA8-EECC,silver,1,0,0,0
DOC-1753CAA8-EECC,tesla inc,1,0,0,0
DOC-1753CAA8-EECC,trump,1,0,0,0
DOC-1753CAA8-EECC,ubs group ag,1,0,0,0
DOC-1753CAA8-EECC,xi jinping,1,0,0,0
DOC-D2425F06-5414,bank america corp,1,0,0,0
DOC-D2425F06-5414,cboe volatility index,1,0,0,0
DOC-D2425F06-5414,chinese president xi jinping,1,0,0,0
DOC-D2425F06-5414,citigroup inc,1,0,0,0
DOC-D2425F06-5414,gold,1,0,0,0
DOC-D2425F06-5414,nasdaq,1,0,0,0
DOC-D2425F06-5414,new york,1,0,0,0
DOC-D2425F06-5414,nvidia corp,1,0,0,0
DOC-D2425F06-5414,p m,1,0,0,0
DOC-D2425F06-5414,per ounce,1,0,0,0
DOC-D2425F06-5414,reuters,1,0,0,0
DOC-D2425F06-5414,silver,1,0,0,0
DOC-D2425F06-5414,south korea,1,0,0,0
DOC-D2425F06-5414,tesla inc,1,0,0,0
DOC-D2425F06-5414,tuesday,1,0,0,0
DOC-D2425F06-5414,u president donald trump,1,0,0,0
DOC-D2425F06-5414,ubs group ag,1,0,0,0
DOC-4B43DEFE-1F7E,amazing,1,0,0,0
DOC-4B43DEFE-1F7E,cooked food,1,0,0,0
DOC-4B43DEFE-1F7E,restaurant,1,0,0,0
DOC-4B43DEFE-1F7E,spicy tuna,1,0,0,0
DOC-4B43DEFE-1F7E,sushi,1,0,0,0
DOC-89315DD0-7219,atm card,1,0,0,0
DOC-89315DD0-7219,baguettes,1,0,0,0
DOC-89315DD0-7219,cash,1,0,0,0
DOC-89315DD0-7219,credit cards,1,0,0,0
DOC-89315DD0-7219,egg rolls,1,0,0,0
DOC-89315DD0-7219,vietnamese sandwich shoppe,1,0,0,0
DOC-0D478638-41BF,abstract,1,0,0,0
DOC-0D478638-41BF,art display,1,0,0,0
DOC-0D478638-41BF,atmosphere,1,0,0,0
DOC-0D478638-41BF,burgers,1,0,0,0
DOC-0D478638-41BF,chicken sandwich,1,0,0,0
DOC-0D478638-41BF,dragon chicken wings,1,0,0,0
DOC-0D478638-41BF,elsa,1,0,0,0
DOC-0D478638-41BF,hot pepper chicken sandwich,1,0,0,0
DOC-0D478638-41BF,totally cool,1,0,0,0
DOC-F2357F8F-C829,buzzcation,1,0,0,0
DOC-F2357F8F-C829,five stars,1,0,0,0
DOC-F2357F8F-C829,fundraising,1,0,0,0
DOC-F2357F8F-C829,sidebar,1,0,0,0
DOC-F2357F8F-C829,sidebarphx,1,0,0,0
DOC-F2357F8F-C829,twitter,1,0,0,0
DOC-F2357F8F-C829,valley,1,0,0,0
DOC-F2357F8F-C829,year,1,0,0,0
